Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Riviera,Cheddar blanc doux 270 g,produits-laitiers,unité (270g),5.49,2.033,caisse (12X270g),54.99,1.697,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-doux-riviera-33719/
St-Albert,"Cheddar blanc doux bloc 2,5 kg",produits-laitiers,"unité (env. 2,5 kg)",12.97,0.519,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-doux-bloc-st-albert-27281/
Riviera,Cheddar blanc doux en bloc 2 kg,produits-laitiers,unité (env. 2 kg),15.49,0.774,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-doux-en-bloc-riviera-06549/
Petit Québec,Cheddar blanc doux goûters x30,produits-laitiers,unité (650g),16.69,2.568,caisse (12X650g),177.99,2.282,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-doux-gouters-petit-quebec-24518/
Boivin,Cheddar blanc en bloc 350 g,produits-laitiers,unité (350g),6.99,1.997,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-en-bloc-boivin-07442/
FromaDar,Cheddar blanc en meule 8 kg,produits-laitiers,unité (env. 8 kg),14.99,0.187,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-en-meule-fromadar-29071/
La Chaudière,Cheddar blanc extra fort 1 kg,produits-laitiers,unité (env. 1 kg),18.99,1.899,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-extra-fort-entier-la-chaudiere-37545/
La Chaudière,Cheddar blanc extra fort 2 kg,produits-laitiers,unité (env. 2 kg),18.99,0.95,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-extra-fort-entier-la-chaudiere-37546/
Perron,"Cheddar blanc extra fort 2,5 kg",produits-laitiers,"unité (env. 2,5 kg)",25.49,1.02,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-extra-fort-entier-perron-22846/
La Chaudière,"Cheddar blanc fort 1,2 kg",produits-laitiers,"unité (env. 1,2 kg)",18.49,1.541,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-fort-entier-la-chaudiere-37548/
St-Albert,"Cheddar blanc fort bloc 2,5 kg",produits-laitiers,"unité (env. 2,5 kg)",16.69,0.668,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-fort-bloc-st-albert-27291/
La Chaudière,Cheddar blanc medium 1 kg,produits-laitiers,unité (env. 1 kg),17.49,1.749,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-medium-entier-la-chaudiere-37542/
St-Albert,"Cheddar blanc mi-fort bloc 2,5 kg",produits-laitiers,"unité (env. 2,5 kg)",16.69,0.668,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-mi-fort-bloc-st-albert-27279/
Saint Henri,Cheddar blanc râpé 1 kg,produits-laitiers,unité (1kg),16.49,1.649,caisse (10X1kg),148.99,1.49,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-rape/cheddar-blanc-rape-saint-henri-29934/
Fromagerie du vieux St-François,Cheddar chèvre au poivre rose 160 g,produits-laitiers,unité (160g),5.59,3.494,caisse (6X160g),29.59,3.082,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-chevre-au-poivre-rose-fromagerie-du-vieux-st-francois-28361/
Fromagerie du vieux St-François,Cheddar chèvre nature 160 g,produits-laitiers,unité (160g),5.29,3.306,caisse (6X160g),27.99,2.916,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-chevre-nature-fromagerie-du-vieux-st-francois-28360/
ADL,"Cheddar doux coloré râpé 2,5 kg",produits-laitiers,unité (2.5kg),10.49,0.42,caisse (2X2.5kg),20.99,0.42,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-rape/cheddar-doux-colore-rape-adl-34996/
Cracker Barrel,"Cheddar doux et Monterey Jack râpés 2,5 kg",produits-laitiers,unité (2.5kg),43.99,1.76,caisse (2x2.25kg),84.99,1.889,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-rape/cheddar-douxmonterey-jack-rape-cracker-barrel-31553/
Riviera,Cheddar doux marbré bloc 270 g,produits-laitiers,"unité (env. 0,27 kg)",17.99,6.663,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-doux-marbre-bloc-coupe-riviera-34352/
Boivin,Cheddar en grain 200 g,produits-laitiers,unité (200g),4.29,2.145,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-en-grain/cheddar-en-grain-boivin-07439/
Boivin,Cheddar en grain 375 g,produits-laitiers,unité (375g),7.29,1.944,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-en-grain/cheddar-en-grain-boivin-07440/
Boivin,Cheddar en grains 500 g,produits-laitiers,unité (500g),8.29,1.658,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-en-grain/fromage-cheddar-en-grains-boivin-32468/
Bingo,Cheddar extra fort biologique 200 g,produits-laitiers,unité (200g),6.39,3.195,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/fromage-cheddar-extra-fort-biologique-bingo-21899/
BioBio,"Cheddar fort biologique 2,38 kg",produits-laitiers,"unité (env. 2,38 kg)",30.49,1.281,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-fort-biologique-entier-biobio-18701/
